<<<<<<< HEAD
﻿id,región,distrito,nombre,pres,pres2,vp1,vp2,vp3,mesa1,mesa2,mesa3,comisiones1,presos1,presos2,protocolo_covid,covid_pcr,nbásicas,reg_cs,reg_vpc,reg_ms+ldp,reg_cd,reg_fa,reg_ms+ldp(b),reg_vpc(b),reg_inn(b),reg_vpc(c1),reg_vpc(c2),reg_ms+ldp(iv),reg_cd(iv),reg_mesa(c),pres_fa,et_fa,et_cd,et_cs,ce_fa,ce_ms+ldp,ce_vpc,ce_cs,ce_mesa,ce_fa(5),ce_ms+ldp(iii),ce_cs(iii),co_ddhh,co_cit,co_pc,co_pycppoo,co_des,co_pst,co_pcdlp,co_pla,co_bv,co_dl,co_ms18o,co_brnbm,co_pvyt
972,Bío-Bío,20,Rossana Loreto Vidal Hernandez,Politzer,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,abstencion,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,en contra,a favor ,a favor ,en contra ,abstencion,en contra
981,Bío-Bío,20,Bastian Esteban Labbe Salazar,Loncon,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,,a favor,en contra ,en contra,en contra ,en contra ,en contra ,en contra ,en contra
1001,Bío-Bío,21,Paulina Veloso Muñoz,Jurgensen,Politzer,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,abstencion,en contra ,en contra ,a favor ,,,,a favor,a favor ,abstencion ,abstencion,a favor ,abstencion,abstencion,,,
1008,Bío-Bío,21,Luis Ramon Barcelo Amado,Politzer,Loncon,Logan,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,en contra,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,en contra ,en contra ,a favor ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,a favor ,en contra ,en contra ,a favor ,en contra ,en contra
1013,Bío-Bío,21,Vanessa Camila Hoppe Espoz,Loncon,Loncon,Dorador,Rojas,Bassa,na,na,na,na,opción uno,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,en contra ,en contra,abstencion,abstencion,en contra ,,
1019,Bío-Bío,21,Javier Fuchslocher Baeza,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,en contra,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,abstencion,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,,,,,,,,,,,,,
1029,Araucanía,22,Ruth Hurtado Olave,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
1034,Araucanía,22,Eduardo Andres Cretton Rebolledo,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,en contra,en contra ,en contra ,a favor ,en contra ,a favor 
1038,Araucanía,22,Fuad Chahin Valenzuela,Politzer,Loncon,Logan,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,a favor ,en contra ,a favor ,en contra ,a favor ,en contra ,,en contra ,a favor ,en contra ,,,,a favor ,a favor ,,,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,abstencion,abstencion,abstencion,abstencion,abstencion
1061,Araucanía,23,Helmuth Jacobo Martinez Llancapan,Loncon,Loncon,Bassa,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,abstencion,a favor ,abstencion,a favor,abstencion
1073,Araucanía,23,Angelica Tepper Kolossa,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,en contra,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,en contra ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,a favor ,abstencion,abstencion,en contra ,abstencion,a favor 
1074,Araucanía,23,Luis Mayol Bouchon,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,,,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,abstencion,a favor ,en contra ,abstencion,en contra,en contra ,en contra ,en contra ,abstencion,a favor 
1081,Araucanía,23,Eduardo Guillermo Castillo Vigouroux,Politzer,Loncon,Dominguez,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor ,en contra ,a favor ,a favor ,en contra ,,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,abstencion,abstencion,abstencion,en contra ,abstencion,abstencion
1087,Araucanía,23,Manuela Royo Letelier,Loncon,Loncon,Rojas,Rojas,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,a favor ,a favor ,a favor ,en contra ,a favor,en contra
1108,Araucanía,23,Lorena Del Pilar Cespedes Fernandez,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,abstención,opción uno,a favor,en contra,a favor,,en contra,en contra,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,abstencion,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,,,,,a favor ,en contra ,abstencion,a favor ,abstencion,abstencion,abstencion,abstencion,en contra
1132,Los Ríos,24,Felipe Ignacio Mena Villar,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
1137,Los Ríos,24,Ramona Reyes Painequeo,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,en contra ,en contra ,en contra ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,a favor ,a favor ,a favor ,a favor ,abstencion,a favor,en contra
1140,Los Ríos,24,Pedro Muñoz Leiva,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,en contra ,en contra ,a favor ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,abstencion,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,a favor ,en contra ,abstencion,en contra ,abstencion,abstencion
1143,Los Ríos,24,Aurora Genoveva Delgado Vergara,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,a favor,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,abstencion,en contra ,abstencion,en contra
1158,Los Lagos,25,Maria Cecilia Ubilla Perez,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,en contra,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,,en contra ,en contra ,a favor,a favor ,a favor ,abstencion,a favor ,en contra ,en contra ,en contra,en contra ,en contra ,en contra ,en contra ,a favor 
1161,Los Lagos,25,Harry Jurgensen Caesar,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,,,en contra,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,abstencion,en contra ,en contra ,abstencion,abstencion,a favor 
1168,Los Lagos,25,Mario Vargas Vidal,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,en contra ,en contra ,en contra ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,a favor ,abstencion,abstencion,abstencion,abstencion,en contra
1184,Los Lagos,26,Adriana Camila Ampuero Barrientos,Godoy,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,en contra ,en contra,abstencion,en contra ,en contra ,en contra ,en contra
1190,Los Lagos,26,Katerine Montealegre Navarro,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,en contra,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,en contra ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,en contra ,a favor ,a favor ,abstencion,a favor ,en contra ,en contra ,en contra,en contra ,en contra ,,,
1197,Los Lagos,26,Julio Alvarez Pinto,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,en contra,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,en contra ,en contra ,en contra ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,,,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,en contra ,abstencion,abstencion,abstencion,en contra ,abstencion,en contra
1212,Los Lagos,26,Gaspar Roberto Dominguez Donoso,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,a favor,en contra ,a favor ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,a favor ,abstencion,abstencion,en contra ,abstencion,en contra
1223,Aysén,27,Geoconda Navarrete Arratia,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,abstencion,a favor,,a favor,en contra,en contra,en contra,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,,en contra ,a favor ,abstencion ,a favor ,en contra ,,a favor ,a favor ,en contra ,en contra ,abstencion,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,en contra ,abstencion,en contra ,abstencion,a favor 
1229,Aysén,27,Tomas Laibe Saez,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,abstensión,a favor,en contra ,en contra ,en contra ,en contra ,en contra,en contra ,a favor ,abstencion ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,en contra,en contra ,en contra ,en contra ,en contra ,en contra
1239,Aysén,27,Yarela Nicohl Gomez Sanchez,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,en contra ,en contra ,a favor ,en contra ,a favor ,,a favor ,a favor ,a favor ,,abstencion ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,abstencion,abstencion,en contra ,abstencion,en contra
1246,Magallanes,28,Mauricio Daza Carrasco,Godoy,Godoy,Daza,Bassa,Bassa,na,na,na,na,abstención,opción uno,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,en contra,en contra ,abstencion ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,a favor ,abstencion,a favor ,abstencion,a favor,abstencion
1252,Magallanes,28,Rodrigo Alvarez Zenteno,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,en contra,abstencion,abstencion,en contra ,en contra ,a favor 
1274,Magallanes,28,Elisa Amanda Giustinianovich Campos,Loncon,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,en contra ,en contra,en contra ,en contra ,en contra ,en contra ,en contra
1284,Arica,,Luis Alberto Jimenez Caceres,Loncon,Loncon,Dorador,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,abstencion,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,en contra ,abstencion,abstencion,a favor ,abstencion,a favor,en contra
1288,Tarapacá,,Wilfredo Manuel Bacian Delgado,Godoy,Godoy,Daza,Rojas,Bassa,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1296,Tarapacá,,Isabella Brunilda Mamani Mamani,Llanquileo,Loncon,Dorador,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,abstencion,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,abstencion,a favor ,en contra ,a favor,en contra
1299,Antofagasta,,Felix Galleguillos,Loncon,Loncon,Dorador,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,a favor ,a favor ,a favor ,,a favor,en contra
1311,Atacama,,Isabel Selena Godoy Monardez,Godoy,,Rojas,Rojas,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1323,Coquimbo,,Fernando Del Carmen Tirado Soto,Godoy,Loncon,Dorador,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,a favor,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1324,Coquimbo,,Eric Chinga,Godoy,Godoy,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,en contra ,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1325,Valparaíso,,Tiare Maeva Carolina Aguilera Hey,Loncon,Loncon,Dorador,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,en contra ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,abstencion,a favor ,en contra ,a favor,en contra
1333,Metropolitana,,Elisa Loncon Antileo,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,en contra ,en contra ,a favor ,en contra ,en contra ,,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,a favor ,a favor ,a favor ,abstencion,a favor,
1336,Bío-Bío,,Natividad Llanquileo Pilquiman,Godoy,,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,abstencion,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,en contra ,abstencion,,a favor ,en contra ,a favor,en contra
1337,Bío-Bío,,Adolfo Millabur Ñancuil,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,a favor,en contra ,en contra ,a favor ,,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,abstencion,a favor ,a favor ,abstencion,a favor,en contra
1340,Araucanía,,Rosa Elizabeth Catrileo Arias,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,en contra,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1346,Araucanía,,Francisca Linconao Huircapan,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,,en contra ,a favor ,,,,,,,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,abstencion,a favor ,a favor ,abstencion,,abstencion
1358,Los Ríos,,Victorino Antilef,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1364,Los Lagos,,Alexis Caiguan,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,a favor ,a favor ,a favor ,a favor ,en contra ,a favor,en contra
1369,Magallanes,,Lidia Gonzalez Calderon,Godoy,Loncon,Daza,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor ,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,a favor ,en contra ,a favor,en contra
1373,Magallanes,,Margarita Vargas Lopez,Godoy,Godoy,Daza,Bassa,Bassa,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor,en contra,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,a favor ,a favor ,a favor ,en contra ,a favor,en contra
=======
id;regi�n;distrito;nombre;pres;pres2;vp1;vp2;vp3;mesa1;mesa2;mesa3;comisiones1;presos1;presos2;protocolo_covid;covid_pcr;nb�sicas;reg_cs;reg_vpc;reg_ms+ldp;reg_cd;reg_fa;reg_ms+ldp(b);reg_vpc(b);reg_inn(b);reg_vpc(c1);reg_vpc(c2);reg_ms+ldp(iv);reg_cd(iv);reg_mesa(c);pres_fa;et_fa;et_cd;et_cs;ce_fa;ce_ms+ldp;ce_vpc;ce_cs;ce_mesa;ce_fa(5);ce_ms+ldp(iii);ce_cs(iii);co_ddhh;co_cit;co_pc;co_pycppoo;co_des;co_pst;co_pcdlp;co_pla;co_bv;co_dl;co_ms18o;co_brnbm;co_pvyt;ddhh_no;ddhh_ms+ldp;ddhh_ms+ldp3;ddhh_ms+ldp4;ddhh_ms+ldp5;ddhh_ms+ldp6;ddhh_ms+ldp7;ddhh_cs;ddhh_ad+ppoo;ddhh_cc;ddhh_ms+ldp8;ddhh_cs9;ddhh_cs10;com_no;com_ldp+ms;com_inn+ps
10;Arica;1;Pollyana Rivera Bigas;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;en contra;en contra;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;abstencion;en contra ;en contra ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;en contra ;en contra ;abstencion;a favor ;en contra ;en contra ;en contra ;a favor ;a favor;en contra;abstencion;en contra;abstencion;abstencion;en contra;abstencion;en contra;a favor;en contra;en contra;abstencion;a favor;abstencion;a favor
17;Arica;1;Jorge Bruno Abarca Riveros;Dorador;Godoy;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;a favor;en contra;en contra;en contra;a favor;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;abstencion;a favor;abstencion;en contra;en contra;a favor;a favor;en contra;a favor;a favor
